iter	Passed	Remaining
333	727	1886
334	729	1883
335	731	1880
336	733	1878
337	735	1875
338	737	1872
339	739	1870
340	741	1867
341	743	1865
342	745	1862
343	747	1860
344	749	1858
345	751	1855
346	753	1853
347	756	1851
348	758	1849
349	760	1846
350	763	1846
351	765	1845
352	768	1843
353	770	1840
354	773	1840
355	775	1837
356	777	1835
357	779	1833
358	781	1831
359	783	1829
360	786	1827
361	788	1824
362	791	1823
363	793	1821
364	796	1821
365	798	1819
366	800	1817
367	803	1816
368	805	1814
369	807	1812
370	810	1810
371	812	1807
372	814	1806
373	817	1804
374	819	1803
375	822	1801
376	824	1799
377	826	1798
378	829	1795
379	831	1794
380	833	1791
381	835	1789
382	838	1788
383	840	1785
384	842	1783
385	844	1781
386	847	1779
387	849	1778
388	851	1776
389	854	1774
390	856	1772
391	858	1770
392	861	1769
393	863	1766
394	866	1766
395	869	1764
396	871	1763
397	874	1761
398	876	1758
399	878	1757
400	880	1754
401	882	1752
402	884	1750
403	887	1747
404	889	1746
405	891	1743
406	893	1741
407	896	1740
408	898	1738
409	901	1736
410	903	1734
411	905	1731
412	907	1730
413	910	1727
414	912	1725
415	914	1722
416	916	1720
417	918	1718
418	920	1715
419	922	1713
420	924	1711
421	926	1708
422	928	1705
423	930	1703
424	933	1701
425	935	1698
426	937	1696
427	939	1694
428	941	1691
429	943	1689
430	945	1686
431	947	1684
432	949	1681
433	951	1679
434	953	1677
435	955	1674
436	957	1672
437	959	1669
438	961	1667
439	964	1665
440	966	1662
441	968	1660
442	970	1658
443	972	1655
444	974	1653
445	976	1650
446	978	1648
447	980	1646
448	982	1644
449	985	1641
450	987	1639
451	989	1637
452	991	1634
453	993	1632
454	995	1629
455	997	1627
456	999	1624
457	1001	1622
458	1003	1620
459	1005	1617
460	1007	1615
461	1009	1613
462	1011	1610
463	1013	1608
464	1015	1605
465	1017	1603
466	1019	1600
467	1022	1598
468	1024	1596
469	1026	1593
470	1028	1591
471	1030	1588
472	1032	1586
473	1034	1584
474	1036	1582
475	1038	1579
476	1040	1577
477	1042	1575
478	1044	1572
479	1046	1570
480	1048	1568
481	1050	1565
482	1052	1563
483	1054	1560
484	1057	1558
485	1059	1555
486	1061	1553
487	1063	1551
488	1065	1548
489	1067	1546
490	1069	1544
491	1071	1541
492	1073	1539
493	1075	1537
494	1077	1535
495	1079	1532
496	1081	1530
497	1083	1527
498	1085	1525
499	1087	1522
500	1090	1521
501	1092	1518
502	1094	1516
503	1096	1513
504	1098	1511
505	1100	1509
506	1102	1506
507	1104	1504
508	1106	1502
509	1108	1499
510	1110	1497
511	1112	1495
512	1114	1492
513	1116	1490
514	1118	1487
515	1120	1485
516	1122	1483
517	1124	1481
518	1126	1478
519	1129	1476
520	1131	1474
521	1133	1471
522	1135	1469
523	1137	1467
524	1139	1464
525	1141	1462
526	1143	1460
527	1145	1458
528	1148	1456
529	1150	1454
530	1152	1451
531	1154	1449
532	1156	1446
533	1158	1444
534	1160	1442
535	1162	1440
536	1164	1438
537	1166	1435
538	1169	1433
539	1171	1431
540	1173	1429
541	1175	1426
542	1177	1424
543	1179	1422
544	1181	1420
545	1183	1417
546	1185	1415
547	1187	1413
548	1190	1411
549	1192	1408
550	1194	1406
551	1196	1404
552	1198	1402
553	1200	1399
554	1202	1397
555	1204	1395
556	1206	1392
557	1208	1390
558	1210	1388
559	1212	1386
560	1214	1383
561	1216	1381
562	1219	1379
563	1221	1377
564	1223	1374
565	1225	1372
566	1227	1370
567	1229	1368
568	1231	1365
569	1233	1363
570	1235	1361
571	1237	1358
572	1239	1356
573	1241	1354
574	1244	1352
575	1246	1349
576	1248	1347
577	1250	1345
578	1252	1343
579	1254	1340
580	1256	1338
581	1258	1336
582	1260	1334
583	1262	1332
584	1265	1330
585	1267	1327
586	1269	1325
587	1271	1323
588	1273	1321
589	1275	1318
590	1277	1316
591	1279	1314
592	1281	1312
593	1283	1309
594	1285	1307
595	1287	1305
596	1289	1302
597	1291	1300
598	1294	1298
599	1296	1296
600	1298	1293
601	1300	1291
602	1302	1289
603	1304	1286
604	1306	1284
605	1308	1282
606	1310	1280
607	1312	1277
608	1314	1275
609	1316	1273
610	1318	1271
611	1320	1269
612	1322	1266
613	1325	1264
614	1327	1262
615	1329	1260
616	1331	1258
617	1333	1255
618	1335	1253
619	1337	1251
620	1339	1249
621	1341	1246
622	1343	1244
623	1346	1242
624	1348	1240
625	1350	1238
626	1352	1235
627	1354	1233
628	1356	1231
629	1358	1229
630	1360	1226
631	1362	1224
632	1364	1222
633	1366	1219
634	1368	1217
635	1370	1215
636	1372	1213
637	1374	1210
638	1376	1208
639	1378	1206
640	1380	1204
641	1382	1201
642	1384	1199
643	1386	1197
644	1388	1195
645	1390	1192
646	1392	1190
647	1394	1188
648	1396	1186
649	1398	1183
650	1401	1181
651	1403	1179
652	1405	1177
653	1407	1174
654	1409	1172
655	1411	1170
656	1413	1168
657	1415	1165
658	1418	1164
659	1420	1161
660	1422	1159
661	1424	1157
662	1426	1155
663	1428	1152
664	1430	1150
665	1432	1148
666	1434	1146
667	1436	1144
668	1438	1141
669	1440	1139
670	1442	1137
671	1444	1135
672	1446	1132
673	1448	1130
674	1450	1128
675	1452	1126
676	1454	1123
677	1456	1121
678	1458	1119
679	1460	1117
680	1462	1114
681	1464	1112
682	1467	1110
683	1469	1108
684	1471	1106
685	1473	1104
686	1475	1101
687	1477	1099
688	1479	1097
689	1481	1095
690	1483	1092
691	1485	1090
692	1487	1088
693	1489	1086
694	1491	1083
695	1493	1081
696	1495	1079
697	1497	1077
698	1499	1074
699	1501	1072
700	1503	1070
701	1506	1068
702	1508	1066
703	1510	1064
704	1512	1061
705	1514	1059
706	1516	1057
707	1518	1055
708	1520	1052
709	1522	1050
710	1524	1048
711	1526	1046
712	1528	1043
713	1530	1041
714	1532	1039
715	1534	1037
716	1536	1035
717	1538	1032
718	1540	1030
719	1542	1028
720	1544	1026
721	1547	1024
722	1549	1022
723	1551	1019
724	1553	1017
725	1555	1015
726	1557	1013
727	1559	1011
728	1561	1008
729	1563	1006
730	1565	1004
731	1567	1002
732	1570	1000
733	1572	998
734	1574	996
735	1576	994
736	1578	991
737	1580	989
738	1583	987
739	1585	985
740	1587	983
741	1589	981
742	1591	978
743	1593	976
744	1595	974
745	1597	972
746	1600	970
747	1602	968
748	1604	965
749	1606	963
750	1608	961
751	1610	959
752	1612	957
753	1614	955
754	1616	952
755	1619	950
756	1621	948
757	1623	946
758	1625	944
759	1627	942
760	1629	939
761	1631	937
762	1633	935
763	1635	933
764	1637	931
765	1639	928
766	1641	926
767	1643	924
768	1645	922
769	1648	920
770	1650	918
771	1652	915
772	1654	913
773	1656	911
774	1658	909
775	1660	907
776	1662	905
777	1664	902
778	1666	900
779	1668	898
780	1670	896
781	1672	894
782	1674	891
783	1676	889
784	1678	887
785	1680	885
786	1683	883
787	1685	880
788	1687	878
789	1689	876
790	1691	874
791	1693	872
792	1695	869
793	1697	867
794	1699	865
795	1701	863
796	1703	861
797	1705	859
798	1707	856
799	1709	854
800	1711	852
801	1713	850
802	1715	848
803	1717	846
804	1720	843
805	1722	841
806	1724	839
807	1726	837
808	1728	835
809	1730	833
810	1732	830
811	1734	828
812	1736	826
813	1738	824
814	1741	822
815	1743	820
816	1745	818
817	1747	815
818	1749	813
819	1751	811
820	1753	809
821	1755	807
822	1757	805
823	1759	802
824	1761	800
825	1763	798
826	1765	796
827	1767	794
828	1769	792
829	1771	789
830	1773	787
831	1775	785
832	1777	783
833	1780	781
834	1782	779
835	1784	776
836	1786	774
837	1788	772
838	1790	770
839	1792	768
840	1794	766
841	1796	763
842	1798	761
843	1800	759
844	1802	757
845	1804	755
846	1806	753
847	1809	750
848	1811	748
849	1813	746
850	1815	744
851	1817	742
852	1819	740
853	1821	738
854	1823	735
855	1825	733
856	1827	731
857	1830	729
858	1832	727
859	1834	725
860	1836	723
861	1838	720
862	1840	718
863	1842	716
864	1844	714
865	1846	712
866	1848	710
867	1850	707
868	1853	705
869	1855	703
870	1857	701
871	1859	699
872	1861	697
873	1863	695
874	1865	692
875	1867	690
876	1869	688
877	1871	686
878	1873	684
879	1876	682
880	1878	680
881	1880	677
882	1882	675
883	1884	673
884	1886	671
885	1888	669
886	1890	667
887	1892	665
888	1894	662
889	1896	660
890	1898	658
891	1901	656
892	1903	654
893	1905	652
894	1907	649
895	1909	647
896	1911	645
897	1913	643
898	1915	641
899	1917	639
900	1919	637
901	1921	634
902	1923	632
903	1925	630
904	1927	628
905	1929	626
906	1932	624
907	1934	622
908	1936	619
909	1938	617
910	1940	615
911	1942	613
912	1944	611
913	1946	609
914	1948	606
915	1950	604
916	1952	602
917	1955	600
918	1957	598
919	1959	596
920	1961	594
921	1963	591
922	1965	589
923	1967	587
924	1969	585
925	1971	583
926	1973	581
927	1975	579
928	1977	576
929	1979	574
930	1982	572
931	1984	570
932	1986	568
933	1988	566
934	1990	564
935	1992	561
936	1994	559
937	1996	557
938	1998	555
939	2000	553
940	2002	551
941	2004	549
942	2006	546
943	2008	544
944	2010	542
945	2012	540
946	2014	538
947	2016	536
948	2018	533
949	2020	531
950	2022	529
951	2024	527
952	2026	525
953	2029	523
954	2031	521
955	2033	518
956	2035	516
957	2037	514
958	2039	512
959	2041	510
960	2043	508
961	2045	506
962	2047	503
963	2049	501
964	2051	499
965	2054	497
966	2056	495
967	2058	493
968	2060	491
969	2062	489
970	2064	486
971	2066	484
972	2068	482
973	2070	480
974	2072	478
975	2074	476
976	2077	474
977	2079	471
978	2081	469
979	2083	467
980	2085	465
981	2087	463
982	2089	461
983	2091	459
984	2093	456
985	2095	454
986	2096	452
987	2098	450
988	2100	448
989	2102	445
990	2104	443
991	2106	441
992	2108	439
993	2110	437
994	2112	435
995	2114	433
996	2116	430
997	2118	428
998	2120	426
999	2123	424
1000	2125	422
1001	2127	420
1002	2129	418
1003	2131	416
1004	2133	414
1005	2135	411
1006	2137	409
1007	2140	407
1008	2142	405
1009	2144	403
1010	2146	401
1011	2148	399
1012	2150	396
1013	2152	394
1014	2154	392
1015	2156	390
1016	2158	388
1017	2160	386
1018	2163	384
1019	2165	382
1020	2167	379
1021	2169	377
1022	2171	375
1023	2173	373
1024	2175	371
1025	2177	369
1026	2179	367
1027	2181	364
1028	2183	362
1029	2185	360
1030	2187	358
1031	2189	356
1032	2191	354
1033	2193	352
1034	2195	350
1035	2197	347
1036	2199	345
1037	2201	343
1038	2203	341
1039	2205	339
1040	2207	337
1041	2209	335
1042	2211	332
1043	2214	330
1044	2216	328
1045	2218	326
1046	2220	324
1047	2222	322
1048	2224	320
1049	2226	318
1050	2228	315
1051	2230	313
1052	2232	311
1053	2234	309
1054	2236	307
1055	2238	305
1056	2240	303
1057	2242	301
1058	2244	298
1059	2247	296
1060	2249	294
1061	2251	292
1062	2253	290
1063	2255	288
1064	2257	286
1065	2259	283
1066	2261	281
1067	2263	279
1068	2265	277
1069	2267	275
1070	2269	273
1071	2271	271
1072	2273	269
1073	2275	266
1074	2277	264
1075	2279	262
1076	2281	260
1077	2283	258
1078	2285	256
1079	2287	254
1080	2289	252
1081	2291	249
1082	2293	247
1083	2295	245
1084	2297	243
1085	2300	241
1086	2302	239
1087	2304	237
1088	2306	235
1089	2308	232
1090	2310	230
1091	2312	228
1092	2314	226
1093	2316	224
1094	2318	222
1095	2320	220
1096	2322	218
1097	2324	215
1098	2326	213
1099	2328	211
1100	2330	209
1101	2332	207
1102	2334	205
1103	2336	203
1104	2338	201
1105	2340	198
1106	2342	196
1107	2344	194
1108	2346	192
1109	2348	190
1110	2350	188
1111	2352	186
1112	2354	184
1113	2356	181
1114	2358	179
1115	2360	177
1116	2363	175
1117	2365	173
1118	2367	171
1119	2369	169
1120	2371	167
1121	2373	164
1122	2375	162
1123	2377	160
1124	2379	158
1125	2381	156
1126	2383	154
1127	2385	152
1128	2387	150
1129	2389	148
1130	2392	145
1131	2394	143
1132	2396	141
1133	2398	139
1134	2400	137
1135	2402	135
1136	2404	133
1137	2406	131
1138	2408	128
1139	2410	126
1140	2412	124
1141	2414	122
1142	2416	120
1143	2418	118
1144	2420	116
1145	2422	114
1146	2425	112
1147	2427	109
1148	2429	107
1149	2431	105
1150	2433	103
1151	2435	101
1152	2437	99
1153	2439	97
1154	2441	95
1155	2443	93
1156	2445	90
1157	2447	88
1158	2450	86
1159	2452	84
1160	2454	82
1161	2456	80
1162	2458	78
1163	2460	76
1164	2462	73
1165	2464	71
1166	2466	69
1167	2468	67
1168	2470	65
1169	2473	63
1170	2475	61
1171	2477	59
1172	2479	57
1173	2481	54
1174	2483	52
1175	2485	50
1176	2487	48
1177	2489	46
1178	2491	44
1179	2493	42
1180	2495	40
1181	2497	38
1182	2500	35
1183	2502	33
1184	2504	31
1185	2506	29
1186	2508	27
1187	2510	25
1188	2512	23
1189	2514	21
1190	2516	19
1191	2518	16
1192	2520	14
1193	2523	12
1194	2525	10
1195	2527	8
1196	2529	6
1197	2532	4
1198	2534	2
1199	2536	0
