species,symmetry_flag,height_index,agility_score,coordination_Y,diet_signal_2,diet_signal_1,limb_ratio_B,dance_style,metabolic_balance,limb_ratio_A,behavioral_switch,bone_density,power_index,ancestral_code,coordination_X
Giant,True,101.31275,0.24696,0.17034,2.71992,6.91005,201.36218,Schottisgris,-89.60097,-0.70312,0,-101.18512,455.97119,CLAN_06169,-0.77643
Vampire,False,99.49637,0.80697,0.97926,-2.31578,,199.58154,Slängpolskorgris,-90.30986,-0.68666,1,-98.52270,448.22051,CLAN_08345,0.57712
Giant,True,99.68396,-0.07145,0.84913,0.91025,9.20953,199.74532,Slängpolskorgris,-94.47917,-0.68720,0,-104.76674,446.03641,CLAN_00546,2.68693
Vampire,False,99.45731,-0.38129,-0.79354,-3.69645,11.28910,199.53864,Slängpolskorgris,-87.32302,-0.68339,0,-95.67983,449.44664,CLAN_05415,1.60218
Giant,True,99.62770,-1.09066,0.18923,-0.27892,12.48957,199.68878,Slängpolskorgris,-90.62460,-0.69300,0,-99.52346,448.37676,CLAN_02722,0.58200
Giant,False,99.08268,0.28803,0.54683,1.54402,10.22887,199.17378,Slängpolskorgris,-90.82577,-0.65267,1,-103.83522,443.49579,CLAN_00139,0.35741
Vampire,True,98.65360,-1.04153,1.56314,-3.86310,,198.72366,Hambogris,-90.94334,-0.67479,0,-101.53305,442.50148,CLAN_04761,0.17952
Student,True,100.11680,-0.74638,0.79699,0.37609,11.25078,200.17426,Polkagris,-91.06459,-0.70257,1,-104.31011,448.42894,CLAN_05728,-0.45828
Student,False,100.48378,0.20689,0.41711,2.87866,12.20718,200.55156,Polkagris,-89.96212,-0.69991,0,-102.53662,451.15057,CLAN_04801,-0.15580
Vampire,False,98.33741,-0.54994,-1.24099,-2.42809,11.72058,198.41331,Hambogris,-89.99309,-0.70000,0,-92.58711,445.39349,CLAN_03983,-0.15402
Vampire,False,98.94262,0.29587,-0.41720,-3.71177,11.29955,199.01447,Hambogris,-89.43704,-0.65402,1,-98.07318,445.67648,CLAN_03043,1.24276
Student,False,101.50580,-0.34158,1.11347,4.22759,11.08281,201.54809,Schottisgris,-90.16029,-0.66703,1,-105.23283,454.91256,CLAN_10206,0.72239
Giant,False,99.52496,-0.50120,-0.31168,1.63813,9.24847,199.58433,Slängpolskorgris,-89.91776,-0.66857,0,-100.26799,447.49079,CLAN_01851,1.14724
Giant,True,100.74997,-0.97181,1.06640,-0.61491,13.38029,200.80562,Polkagris,-91.64013,-0.67251,1,-101.27335,453.11318,CLAN_06830,1.77835
Vampire,False,99.30696,-1.03577,-0.93948,-2.47233,9.40926,199.38379,Slängpolskorgris,-88.66987,-0.67355,0,-91.50839,450.78062,CLAN_04071,2.04529
Giant,False,99.54544,-0.20271,-0.36506,3.46556,9.93238,199.59935,Slängpolskorgris,-92.80463,-0.67411,0,-96.46956,449.49244,CLAN_09506,-0.11802
Vampire,False,102.43890,-0.06434,0.99211,-3.02513,,202.50227,Polskorgris,-94.04316,-0.66027,1,-103.07082,460.65911,CLAN_00794,-0.88293
Student,False,100.46561,-1.25819,1.37999,3.37327,10.36563,200.52595,Polkagris,-91.70967,-0.69998,1,-95.24925,454.70342,CLAN_10321,0.52618
Student,True,100.92341,0.16643,-0.70017,0.28387,10.63775,200.98894,Polkagris,-89.40222,-0.71030,0,-94.58528,457.32440,CLAN_00791,0.31778
Vampire,False,100.05099,0.48932,-0.45469,-1.49361,9.93925,200.12526,Polkagris,-90.56581,-0.67738,0,-98.12163,451.19412,CLAN_10100,1.23831
Student,False,100.55404,0.43894,-0.72363,1.52103,12.93734,200.60083,Polkagris,-91.13788,-0.66466,0,-100.41939,452.56052,CLAN_09745,0.08646
Vampire,True,100.80146,0.08203,-2.27023,-0.31161,10.32281,200.87967,Polkagris,-92.53694,-0.67650,0,-100.62228,453.69614,CLAN_04776,2.25339
Vampire,True,99.93276,0.15758,0.05405,-2.43310,12.05402,200.00555,Slängpolskorgris,-91.97196,-0.66095,1,-95.17498,452.07630,CLAN_09262,1.08557
Vampire,True,99.92314,-0.95242,-1.44985,-5.79531,,200.00379,Slängpolskorgris,-89.63228,-0.69150,0,-105.06696,447.08221,CLAN_09058,0.51555
Student,True,98.99157,-1.51559,0.21514,1.56411,10.82991,199.04940,Hambogris,-89.12090,-0.69850,0,-93.94557,447.98507,CLAN_09884,0.28058
Giant,False,99.69439,-0.36206,1.22750,-1.23681,10.08802,199.76157,Slängpolskorgris,-87.12620,-0.67873,0,-101.36279,447.79058,CLAN_08705,1.89206
Vampire,False,97.94876,1.75354,-0.90342,-4.16807,,198.03202,Hambogris,-87.94617,-0.68471,1,-98.71946,440.38405,CLAN_08609,0.94346
Giant,False,100.54202,-0.30201,-1.33084,-1.95341,6.93390,200.58808,Polkagris,-92.15312,-0.68916,1,-106.56193,449.42913,CLAN_01473,-0.13472
Vampire,True,100.79347,1.22639,-4.88149,-2.71217,,200.87149,Polkagris,-89.17399,-0.65700,0,-99.91696,454.00887,CLAN_05662,1.47964
Student,True,98.88619,-1.23055,-1.34776,3.90781,10.73759,198.94194,Hambogris,-89.91437,-0.68581,0,-99.29836,444.78176,CLAN_05127,-0.24768
Giant,False,101.18375,-0.43845,1.52940,-1.31155,11.38726,201.26994,Schottisgris,-91.27375,-0.65684,1,-102.19844,454.81955,CLAN_05527,0.52415
Vampire,False,100.47585,0.24955,0.22657,-2.48125,11.92894,200.55211,Polkagris,-90.90773,-0.67619,0,-104.43357,450.16248,CLAN_04541,1.11147
Student,False,101.22933,0.11717,0.83430,2.43544,12.65703,201.28060,Schottisgris,-93.46901,-0.69841,0,-98.98638,456.65344,CLAN_07991,-0.15460
Student,True,99.91412,-0.37787,0.31108,3.01505,9.42231,199.95590,Slängpolskorgris,-89.84400,-0.71680,0,-99.73216,449.70452,CLAN_02364,1.35513
Giant,True,100.50700,-0.30908,-3.25179,2.30146,10.26579,200.56323,Polkagris,-92.19332,-0.69358,1,-96.34487,454.36255,CLAN_10730,-2.71177
Vampire,False,99.93871,0.38354,-0.71481,-0.62844,,200.01084,Slängpolskorgris,-88.67254,-0.68155,1,-97.59496,450.89605,CLAN_09286,-1.15204
Vampire,False,99.61607,-0.91264,0.06027,-1.17528,,199.69370,Slängpolskorgris,-90.76438,-0.69712,0,-98.03123,449.06475,CLAN_07669,-0.36673
Giant,True,99.15026,-1.86406,-1.60236,2.00863,8.68503,199.20977,Slängpolskorgris,-87.38540,-0.67981,0,-96.90441,447.29907,CLAN_05748,-1.86253
Vampire,False,99.55956,-0.08374,0.71136,-0.54759,,199.63161,Slängpolskorgris,-89.73757,-0.68376,0,-93.14523,451.22516,CLAN_02433,0.12879
Giant,False,100.14533,0.25811,-0.59954,-3.71628,10.96791,200.19930,Polkagris,-92.76397,-0.69931,0,-101.04699,450.20314,CLAN_09630,-1.61359
Student,False,99.41456,-0.38985,-0.27826,1.81266,10.12801,199.48828,Slängpolskorgris,-91.45958,-0.69727,0,-98.19890,447.97335,CLAN_00082,0.00542
Vampire,False,99.74668,-0.29674,-0.02632,-3.36353,,199.81164,Slängpolskorgris,-91.02039,-0.66172,0,-107.38907,445.03889,CLAN_09841,-0.18302
Vampire,True,100.34006,0.01494,2.77216,-2.85869,11.81017,200.42044,Polkagris,-91.03079,-0.67247,0,-106.04955,448.67551,CLAN_06721,-4.01333
Student,False,99.72289,-1.43237,0.28302,2.48574,12.01331,199.77136,Slängpolskorgris,-90.07897,-0.69610,0,-95.55883,450.83502,CLAN_05606,-0.35374
Vampire,False,100.46335,-0.19577,1.86114,-1.07524,,200.53865,Polkagris,-90.41681,-0.66491,1,-103.04914,450.79218,CLAN_02750,1.56158
Student,True,99.99918,-0.06635,-0.18985,4.22065,14.22746,200.04925,Polkagris,-91.66205,-0.71088,1,-103.97302,448.00940,CLAN_10117,0.46530
Vampire,True,101.13395,0.40855,-0.82319,-2.65701,12.54041,201.20712,Schottisgris,-92.63536,-0.65814,0,-102.84168,454.24891,CLAN_03991,-0.17919
Vampire,False,98.60356,-0.46649,2.18539,-0.95804,,198.68711,Hambogris,-88.71978,-0.68289,0,-100.20105,442.91726,CLAN_05871,-0.37942
Vampire,True,101.89069,-0.44330,0.32994,-3.34421,10.17334,201.96637,Schottisgris,-93.64816,-0.67947,1,-104.60909,457.14891,CLAN_03870,-1.07321
Giant,True,100.76581,-0.60380,1.08851,-1.08021,12.82140,200.81540,Polkagris,-93.46708,-0.70246,1,-97.82057,454.91879,CLAN_08465,0.43698
Vampire,False,98.67414,0.20722,-1.18495,-2.82046,,198.75999,Hambogris,-91.35460,-0.68320,1,-103.34216,441.69961,CLAN_08924,-1.06510
Giant,True,100.68545,-0.20521,0.80428,-0.91201,13.69872,200.74003,Polkagris,-90.74557,-0.69721,1,-103.38942,451.73253,CLAN_05418,0.09608
Student,True,99.52872,0.75394,-1.45638,-0.36443,9.90527,199.60388,Slängpolskorgris,-90.64809,-0.70259,1,-102.99824,446.14450,CLAN_09724,-0.65930
Vampire,True,99.47886,-0.47363,-1.82899,-3.65947,9.22930,199.54252,Slängpolskorgris,-91.80430,-0.66096,0,-98.17502,448.30678,CLAN_09088,1.70388
Vampire,False,101.09231,0.41846,0.29588,-2.25984,11.38252,201.17467,Schottisgris,-91.53300,-0.67817,0,-92.90216,459.01049,CLAN_05242,0.17995
Student,False,100.34586,1.85386,0.78061,3.04265,8.79694,200.40469,Polkagris,-91.36579,-0.68747,0,-100.90288,451.27784,CLAN_06211,-0.57788
Vampire,True,101.59408,1.98034,0.56531,-1.13604,,201.67269,Schottisgris,-93.32609,-0.70256,0,-97.81951,459.06063,CLAN_10897,0.09052
Vampire,True,100.49958,0.96546,0.05076,-4.32663,,200.57284,Polkagris,-90.72703,-0.68632,0,-102.86915,451.06331,CLAN_09718,-1.87183
Vampire,True,100.10964,-0.36005,-1.65371,-3.19038,,200.18556,Polkagris,-90.18858,-0.65892,1,-99.24326,450.92655,CLAN_01411,-1.21370
Student,True,99.27921,-0.43994,0.70098,2.26439,14.06114,199.33694,Slängpolskorgris,-91.31646,-0.73037,0,-95.89545,448.44834,CLAN_00098,-0.62151
Student,False,100.29906,0.32820,1.00937,1.45008,10.83860,200.36287,Polkagris,-91.39349,-0.67964,0,-98.73043,452.13009,CLAN_10367,-0.76582
Vampire,True,99.74425,0.28925,1.80751,-1.06975,9.90407,199.81159,Slängpolskorgris,-91.81949,-0.66254,1,-95.13919,451.15164,CLAN_04560,-1.13378
Vampire,True,99.23401,0.78712,1.60176,-2.02944,10.17483,199.31068,Slängpolskorgris,-91.85743,-0.69364,1,-102.94396,444.69808,CLAN_08787,0.42786
Vampire,False,101.98772,0.84337,-0.35892,-3.07888,,202.06090,Polskorgris,-93.18849,-0.66562,0,-104.03481,457.92119,CLAN_10111,0.19518
Giant,True,100.11585,-0.60850,2.13326,-0.67876,12.87070,200.18606,Polkagris,-91.15142,-0.67702,1,-100.05494,450.55178,CLAN_00002,2.36364
Vampire,False,100.37002,1.02238,1.09574,-2.26586,,200.44770,Polkagris,-90.29174,-0.66232,0,-98.40360,452.64829,CLAN_08581,0.59990
Vampire,False,100.84688,0.46608,-0.98678,-2.18462,,200.91998,Polkagris,-92.26197,-0.65358,0,-107.85816,450.30530,CLAN_03734,1.38532
Vampire,True,99.19223,-0.32121,-0.68174,-1.92776,,199.26518,Slängpolskorgris,-89.58770,-0.65144,0,-99.69949,446.11139,CLAN_00570,-0.09130
Student,False,100.74456,-0.30775,-0.78697,4.59375,12.80502,200.80029,Polkagris,-90.52625,-0.67182,1,-98.71662,454.36448,CLAN_06820,-0.38554
Vampire,False,98.90424,-0.12429,-1.46073,0.17824,,198.98967,Hambogris,-89.13547,-0.68492,0,-108.69587,440.17326,CLAN_04141,1.55841
Vampire,False,100.63582,0.68825,1.06135,-0.18784,10.67606,200.71102,Polkagris,-89.60772,-0.67889,0,-99.62395,453.36713,CLAN_03972,-2.50652
Student,True,99.80298,0.64867,-0.49348,4.48584,12.68271,199.84416,Slängpolskorgris,-91.36066,-0.70921,1,-105.03021,446.49978,CLAN_10183,-0.16719
Vampire,False,98.88998,0.31857,-2.25246,-1.74067,,198.96927,Hambogris,-89.90551,-0.69519,1,-97.84360,445.52810,CLAN_05099,2.04876
Student,True,100.91147,-0.49458,0.12256,2.79606,11.44515,200.96936,Polkagris,-91.94166,-0.67112,1,-106.24183,451.43641,CLAN_03511,0.80727
Giant,False,101.59653,-0.61446,-1.31772,-1.19781,14.38407,201.67910,Schottisgris,-90.07885,-0.64338,1,-101.37481,457.29525,CLAN_07582,-0.04079
Student,True,100.56158,-0.05225,1.83143,3.29402,11.95524,200.61958,Polkagris,-90.71550,-0.69368,1,-104.73237,450.44172,CLAN_06515,-0.14449
Giant,True,99.31878,-0.83875,0.08511,-0.15444,10.75606,199.37680,Slängpolskorgris,-88.87788,-0.68575,0,-105.13327,444.02727,CLAN_01356,1.37128
Vampire,False,99.08657,0.67878,1.34661,-3.60369,11.02442,199.16027,Slängpolskorgris,-85.00675,-0.67042,1,-103.74641,443.55964,CLAN_05297,0.31751
Vampire,False,99.88826,0.04224,-2.15046,-1.26863,11.35409,199.96532,Slängpolskorgris,-92.38818,-0.69823,1,-99.57075,449.65593,CLAN_02906,1.41686
Giant,False,100.30358,0.44356,-0.94167,-2.32717,9.52201,200.38572,Polkagris,-89.52702,-0.65884,0,-108.03609,447.49984,CLAN_10643,0.05365
Giant,False,100.69237,0.62482,-0.59207,-1.17134,11.64308,200.74555,Polkagris,-91.21532,-0.69183,0,-106.00760,450.45804,CLAN_08919,0.37973
Giant,False,100.12414,0.16535,-0.83404,-0.76334,12.53955,200.16992,Polkagris,-91.78814,-0.68415,0,-99.70661,450.76741,CLAN_01500,-0.40649
Vampire,True,100.45699,-0.69802,-1.49713,-2.10538,,200.53561,Polkagris,-91.49123,-0.68856,1,-97.41273,453.57858,CLAN_04973,-2.67968
Giant,False,100.88756,-0.19756,0.39648,-1.66347,14.71473,200.97113,Polkagris,-90.43354,-0.66363,1,-97.72438,455.57562,CLAN_06538,-1.04796
Vampire,False,99.90089,0.18928,0.32693,-1.72914,11.74296,199.97374,Slängpolskorgris,-91.08969,-0.65925,1,-99.94676,449.53107,CLAN_09282,0.76777
Vampire,False,99.93672,-0.32502,-0.44345,0.49080,9.94475,200.02033,Slängpolskorgris,-89.37242,-0.68400,0,-97.03048,451.16838,CLAN_09728,-0.87159
Vampire,True,99.94829,-0.45589,-0.58209,-1.21135,,200.02557,Slängpolskorgris,-91.85716,-0.70237,0,-97.97925,450.75181,CLAN_02649,0.06727
Vampire,True,100.61210,-0.45085,-0.83242,0.48624,10.36322,200.68668,Polkagris,-93.73222,-0.67257,1,-100.87658,452.62222,CLAN_10274,1.90652
Vampire,True,98.97719,0.13690,1.27059,-2.82670,,199.05411,Hambogris,-89.69980,-0.68059,1,-100.13778,444.81705,CLAN_07238,-2.50240
Giant,False,100.41487,0.35130,1.26798,1.94939,10.05714,200.49922,Polkagris,-90.19726,-0.63306,0,-99.48581,452.33145,CLAN_01275,3.20605
Giant,False,101.30730,-0.59303,0.35560,3.40514,8.41443,201.35923,Schottisgris,-92.93875,-0.68379,1,-101.78553,455.64373,CLAN_01693,1.13199
Giant,False,98.21791,0.01505,0.10253,-0.34090,13.39021,198.30310,Hambogris,-89.93383,-0.65945,1,-103.08697,439.54604,CLAN_06536,-2.93910
Student,True,99.77057,0.33831,0.61880,2.09215,10.55113,199.84614,Slängpolskorgris,-88.79382,-0.70692,1,-98.75966,449.47301,CLAN_08081,-1.35922
Giant,False,101.05633,-1.15767,-0.79302,0.18205,12.67957,201.13006,Schottisgris,-90.55941,-0.65014,1,-101.01048,454.77643,CLAN_01898,0.92187
Vampire,False,99.15384,0.08732,1.88505,-1.75790,11.62896,199.23488,Slängpolskorgris,-88.41960,-0.69913,1,-101.04992,445.24424,CLAN_09455,0.29649
Giant,True,100.34538,-1.45432,0.09834,2.95879,9.71633,200.41960,Polkagris,-93.04596,-0.64873,1,-101.66407,450.89485,CLAN_09144,-1.46918
Giant,False,100.25387,-0.02126,2.57871,-0.34214,10.67586,200.32881,Polkagris,-95.42852,-0.65528,1,-99.84548,451.34663,CLAN_02148,1.52426
Giant,True,100.44784,0.83695,-1.48271,-0.55157,10.77719,200.49712,Polkagris,-92.01152,-0.70824,0,-101.64642,451.41599,CLAN_01599,-1.68953
Student,False,99.42741,0.51641,0.92276,1.66941,9.31679,199.46043,Slängpolskorgris,-90.18942,-0.68670,1,-101.01371,446.63018,CLAN_09566,0.16241
Vampire,True,99.43276,-0.91747,0.33381,-3.79169,,199.51318,Slängpolskorgris,-90.55300,-0.68151,0,-98.06395,448.13184,CLAN_09301,0.17600
Giant,False,102.05847,0.01604,2.54059,-1.82910,12.01774,202.13691,Polskorgris,-92.71838,-0.64651,0,-105.10440,457.74013,CLAN_00839,3.15963
Student,True,99.57464,0.08940,0.46624,1.55364,12.07861,199.61476,Slängpolskorgris,-87.50552,-0.66744,1,-107.41307,444.16668,CLAN_03205,-0.53840
Student,True,99.73322,-0.57315,0.37368,0.85031,12.17995,199.76625,Slängpolskorgris,-91.23564,-0.67713,0,-98.78304,449.27460,CLAN_01732,-0.29518
Giant,True,102.36504,0.75492,2.61629,-0.24117,14.13680,202.43214,Polskorgris,-94.25465,-0.65973,0,-101.44117,461.10460,CLAN_09117,1.57492
Vampire,False,100.05368,1.13012,1.38362,-1.73948,9.61762,200.12280,Polkagris,-92.83220,-0.65842,0,-95.52648,452.50518,CLAN_00245,-1.53645
Student,True,100.68003,0.54753,0.22369,1.92493,9.46094,200.73809,Polkagris,-90.25690,-0.65365,0,-98.62160,454.08935,CLAN_05253,-0.82684
Vampire,True,100.44340,0.60641,-0.93389,-0.50809,,200.52527,Polkagris,-92.58282,-0.68791,0,-98.03823,453.19787,CLAN_07390,0.59281
Student,False,98.21370,1.09317,1.15364,-0.41533,11.11596,198.25357,Hambogris,-89.01742,-0.71909,1,-93.37752,444.37975,CLAN_01449,-0.65476
Vampire,True,100.46253,0.73700,2.51058,-1.60133,11.04531,200.53683,Polkagris,-91.79958,-0.67879,0,-103.59162,450.51683,CLAN_09337,-0.11017
Vampire,True,98.94873,0.69698,-0.46108,-3.32936,10.99898,199.01881,Hambogris,-87.47727,-0.68164,1,-97.55281,445.96726,CLAN_00212,-0.14526
Vampire,False,100.72765,0.72047,1.34539,-2.03948,12.13454,200.81412,Polkagris,-94.17637,-0.69166,0,-103.63238,451.82203,CLAN_07412,0.12757
Student,True,99.30779,-0.06269,-0.30014,3.19563,15.33397,199.35701,Slängpolskorgris,-90.88038,-0.70509,0,-97.11112,447.98339,CLAN_01725,-0.04684
Vampire,False,99.41041,-0.58538,-0.31406,-1.90468,,199.49200,Slängpolskorgris,-90.78897,-0.68854,0,-98.90776,447.59816,CLAN_10838,0.53544
Vampire,False,100.01867,-0.52022,0.18866,-1.82101,8.62697,200.09032,Polkagris,-90.77790,-0.68847,1,-93.60839,453.28917,CLAN_02219,1.50806
Vampire,True,100.50451,-0.22764,0.90494,-1.57107,10.66270,200.58468,Polkagris,-90.35876,-0.66712,1,-101.09003,451.97751,CLAN_09210,0.19142
Vampire,True,99.30234,0.54980,-1.33668,-1.79637,,199.38291,Slängpolskorgris,-88.82383,-0.68271,1,-102.47894,445.27223,CLAN_07151,0.79124
Student,True,100.22452,1.03704,1.02823,0.24533,11.81997,200.27900,Polkagris,-93.43692,-0.72311,0,-102.01253,450.11631,CLAN_03591,-0.31646
Giant,False,99.92566,1.35664,-3.32867,-0.69686,11.63136,199.99397,Slängpolskorgris,-91.32175,-0.65490,1,-102.70663,448.27501,CLAN_06355,-0.91852
Giant,True,101.09050,-0.05461,-0.45583,-0.97734,12.66349,201.16528,Schottisgris,-91.14407,-0.66670,1,-103.96663,453.46916,CLAN_07009,-0.22363
Student,False,99.32081,-0.37606,-0.43939,0.39991,10.62233,199.38499,Slängpolskorgris,-91.22862,-0.69327,0,-101.81414,445.69700,CLAN_07557,0.05107
Student,False,99.56925,0.05577,0.68478,3.71714,9.99461,199.61963,Slängpolskorgris,-90.20964,-0.74029,1,-98.24131,448.72559,CLAN_02392,-1.47841
Vampire,True,99.10453,-0.43354,-0.87062,-0.44602,10.46706,199.17773,Slängpolskorgris,-89.45668,-0.66559,0,-102.53799,444.25367,CLAN_09241,0.42136
Student,True,102.27547,0.82727,0.37173,0.99502,10.35606,202.33239,Polskorgris,-95.27766,-0.68047,0,-103.98118,459.38674,CLAN_01393,-0.37963
Vampire,False,100.56144,0.83456,-0.27979,1.06934,,200.63589,Polkagris,-89.40491,-0.68297,0,-102.06527,451.77455,CLAN_10145,0.03214
Giant,True,99.87979,-0.27115,-1.34250,-1.50908,11.98160,199.94856,Slängpolskorgris,-89.65542,-0.65795,0,-99.91086,449.44353,CLAN_06863,0.82622
Vampire,False,98.47880,0.39287,3.35567,-2.15601,11.09408,198.55013,Hambogris,-87.93576,-0.68268,1,-94.26997,445.25904,CLAN_06412,-0.83030
Student,False,100.74751,0.98357,-0.66525,-0.18590,8.34078,200.79698,Polkagris,-91.51623,-0.67823,0,-102.65689,452.40913,CLAN_02302,0.54261
Student,True,99.62343,-0.87524,-0.72778,1.68689,9.78562,199.67980,Slängpolskorgris,-91.99370,-0.67824,0,-101.71729,447.25850,CLAN_02342,0.28014
Giant,False,100.61094,-0.73022,-3.69162,2.96106,10.20490,200.68411,Polkagris,-91.46154,-0.66722,1,-94.85669,455.62633,CLAN_09677,-0.75953
Student,True,100.46717,0.29023,0.08779,2.79738,11.90807,200.51914,Polkagris,-94.09406,-0.72061,0,-100.94403,451.86385,CLAN_05075,-1.37541
Student,False,99.60464,-0.19501,0.40554,-3.68394,10.41394,199.65768,Slängpolskorgris,-88.87450,-0.64873,0,-101.31188,447.36727,CLAN_08984,0.85087
Giant,True,99.65211,0.21680,0.72912,0.22743,10.65871,199.72879,Slängpolskorgris,-92.26937,-0.64647,1,-99.11518,448.70295,CLAN_05019,0.00364
Student,True,100.31682,0.15174,0.04773,4.50528,9.74739,200.36977,Polkagris,-92.26560,-0.72377,0,-100.71363,451.22729,CLAN_05360,1.15000
Giant,False,99.09274,-0.04588,-0.01365,-0.71169,11.52552,199.16719,Slängpolskorgris,-91.51583,-0.65183,0,-98.12841,446.39948,CLAN_05429,-3.59066
Student,True,99.62029,1.28370,-0.06667,2.44917,8.77267,199.66708,Slängpolskorgris,-89.65944,-0.72797,1,-101.70860,447.24713,CLAN_10641,0.41274
Student,False,99.45921,-0.49237,-1.16405,2.29122,10.61321,199.50555,Slängpolskorgris,-90.64874,-0.67343,0,-100.28560,447.15324,CLAN_06535,0.07968
Giant,False,99.51613,-0.34854,-0.85189,-0.84563,11.60175,199.57451,Slängpolskorgris,-88.72107,-0.66779,0,-98.33964,448.41083,CLAN_04267,-1.10211
Student,False,99.82832,0.64000,0.18853,3.74629,12.52376,199.88140,Slängpolskorgris,-90.58040,-0.69098,1,-96.27628,451.00344,CLAN_09309,-0.02899
Vampire,False,101.15148,0.77106,-1.40497,-3.87068,10.58937,201.22096,Schottisgris,-92.09074,-0.65895,0,-103.31989,454.09743,CLAN_09487,-0.26302
Student,True,100.89956,-0.18393,-0.27265,0.91544,11.22414,200.94754,Polkagris,-92.79232,-0.72307,1,-101.61336,453.69111,CLAN_10446,-0.80632
Vampire,True,100.59661,0.34971,-1.52741,-1.50791,11.91322,200.67218,Polkagris,-91.59994,-0.66625,0,-101.94279,452.01164,CLAN_06713,0.18796
Vampire,True,100.12689,-0.44358,0.47447,-1.23079,,200.19390,Polkagris,-91.30962,-0.65717,1,-101.84776,449.71055,CLAN_10797,-0.51723
Giant,False,100.76333,0.32261,-0.40991,-0.63659,12.21656,200.81724,Polkagris,-88.32210,-0.69924,0,-99.01588,454.30870,CLAN_02171,0.44090
Vampire,True,97.55270,0.05450,-1.82013,-1.34312,8.57897,197.63146,Hambogris,-88.01418,-0.69439,1,-98.74450,438.39127,CLAN_03980,1.20027
Vampire,True,99.79742,-0.34347,2.03278,-0.81930,,199.88133,Slängpolskorgris,-88.68668,-0.67551,0,-96.65337,450.66044,CLAN_05156,-1.66150
Vampire,True,100.01072,0.56223,-0.46325,0.57092,,200.08922,Polkagris,-90.86635,-0.70105,0,-97.81295,451.14715,CLAN_04865,0.60175
Giant,False,99.66629,-0.01248,3.90299,-0.79475,13.58101,199.71938,Slängpolskorgris,-91.60542,-0.70096,0,-100.53599,448.06346,CLAN_09581,-0.53635
Student,True,100.71813,0.01692,0.02521,0.41642,11.35553,200.78084,Polkagris,-90.92360,-0.65854,0,-100.81172,453.18481,CLAN_06631,-0.50231
Student,True,99.02692,0.21505,0.49689,2.41355,10.55169,199.08966,Slängpolskorgris,-92.08794,-0.71633,1,-106.37843,441.94538,CLAN_00332,0.48419
Vampire,True,100.42484,-0.40908,1.01751,-1.97595,11.73753,200.50158,Polkagris,-89.57594,-0.68608,1,-98.56848,452.83995,CLAN_10287,0.22295
Vampire,False,102.04172,0.07130,-3.33152,-2.65159,,202.12086,Polskorgris,-92.20329,-0.67262,0,-103.18794,458.61463,CLAN_05493,0.36611
Vampire,False,101.62063,0.37002,1.47229,-1.60583,,201.68626,Schottisgris,-91.84574,-0.66808,0,-103.27130,456.46752,CLAN_05408,0.46707
