symmetry_flag,height_index,agility_score,coordination_Y,diet_signal_2,diet_signal_1,limb_ratio_B,dance_style,metabolic_balance,limb_ratio_A,behavioral_switch,bone_density,power_index,ancestral_code,coordination_X
True,100.29050,-0.83581,-0.09298,3.38197,8.62547,200.35969,Polkagris,-89.87554,-0.68481,1,-103.22573,449.83963,CLAN_05827,-0.50029
True,101.29226,-0.05036,-0.16567,1.19974,11.74511,201.35650,Schottisgris,-94.11245,-0.67437,1,-98.84696,457.03782,CLAN_06710,0.14732
False,99.25837,0.15525,-0.65426,2.16303,9.56229,199.33936,Slängpolskorgris,-89.55469,-0.66637,1,-102.71345,444.93512,CLAN_07145,0.70299
True,101.42587,-0.02215,-1.51426,-2.37806,12.07760,201.47850,Schottisgris,-93.68221,-0.67115,1,-95.63385,459.31243,CLAN_07728,1.06699
False,101.91525,0.69972,0.28370,-0.49737,9.78141,201.96776,Schottisgris,-93.94644,-0.66735,0,-103.40688,457.87283,CLAN_01980,-0.42307
True,100.79514,-0.39399,0.77191,-4.04036,,200.87204,Polkagris,-92.52591,-0.69863,1,-101.72989,453.11074,CLAN_10409,1.13917
True,98.28270,-0.90795,-0.82509,-0.71657,10.81764,198.35807,Hambogris,-91.10930,-0.65131,0,-97.94506,442.44099,CLAN_09577,-0.39174
False,99.66006,0.32782,-0.27041,-2.17877,13.54206,199.71596,Slängpolskorgris,-92.35236,-0.67890,1,-97.86211,449.36923,CLAN_04763,-0.06652
True,99.32370,-1.87674,-0.81409,0.12207,13.62582,199.37593,Slängpolskorgris,-91.46848,-0.69803,0,-99.03398,447.10149,CLAN_05789,1.60935
False,101.24995,-0.27995,1.20713,4.22740,11.69032,201.30643,Schottisgris,-91.63026,-0.68319,1,-99.74377,456.37787,CLAN_04046,-0.60591
True,100.86013,0.04554,-2.66209,-0.47506,,200.93912,Polkagris,-90.88413,-0.66932,0,-103.01839,452.79148,CLAN_07206,0.90058
True,102.27831,0.56550,0.01247,-1.20310,10.25870,202.35170,Polskorgris,-91.53906,-0.65222,0,-105.65491,458.56407,CLAN_00498,-0.66982
True,98.85514,0.01202,0.45676,-0.28221,,198.92130,Hambogris,-88.56010,-0.66154,1,-98.07973,445.23585,CLAN_01592,0.01830
False,99.45367,0.70199,1.49539,-2.90304,,199.53331,Slängpolskorgris,-92.28797,-0.67820,1,-93.24899,450.64388,CLAN_10109,-3.77345
True,99.42185,0.32012,0.18036,3.07559,11.09658,199.47550,Slängpolskorgris,-91.15404,-0.70236,1,-98.85964,447.67944,CLAN_06855,0.25947
True,99.96185,-0.46919,0.73271,-1.52346,12.24038,200.03747,Slängpolskorgris,-93.61756,-0.69244,0,-96.23252,451.69301,CLAN_03325,-0.60370
False,100.26193,-0.42790,-0.55719,2.09548,11.02600,200.32301,Polkagris,-90.76794,-0.71983,1,-102.84482,449.88723,CLAN_10480,-0.75731
False,100.59926,-0.69008,-0.83656,-1.23568,13.27139,200.65436,Polkagris,-91.83447,-0.67601,1,-98.86805,453.56229,CLAN_04016,-1.28001
False,99.84029,-0.39077,1.23116,-0.74459,9.86519,199.92758,Slängpolskorgris,-90.02367,-0.68887,0,-99.72015,449.34137,CLAN_09182,-1.29795
True,99.69419,0.23882,0.38341,0.16176,13.88846,199.75783,Slängpolskorgris,-90.51564,-0.67248,1,-100.21685,448.36251,CLAN_09474,1.93134
False,101.08651,1.07350,-0.50627,4.34802,11.02164,201.12612,Schottisgris,-91.80239,-0.69376,0,-103.84566,453.50971,CLAN_01895,0.25321
False,101.47811,-0.07310,-4.26794,-0.49186,12.53301,201.56183,Schottisgris,-91.77395,-0.65299,1,-101.63652,456.57227,CLAN_10859,-5.04442
False,99.62408,1.20588,-0.86601,-1.78616,9.26452,199.70146,Slängpolskorgris,-91.09286,-0.69895,1,-106.98846,444.62616,CLAN_08431,0.24540
False,98.78230,-0.60184,0.91757,-4.66030,12.29839,198.86273,Hambogris,-90.86214,-0.68676,0,-100.06178,443.88060,CLAN_06132,-1.27210
True,100.87811,0.88698,0.55417,1.27633,8.13669,200.95244,Polkagris,-92.06100,-0.67545,0,-101.39457,453.69327,CLAN_08353,1.20589
True,101.15118,0.00780,-2.75236,0.28274,11.67710,201.22168,Schottisgris,-91.09172,-0.66469,0,-105.57442,452.96868,CLAN_04627,-1.89037
True,99.19662,-0.36067,-2.10634,-2.60148,,199.28158,Slängpolskorgris,-89.37381,-0.68459,0,-93.13271,449.41677,CLAN_03411,1.11367
False,99.49284,0.38971,-0.52327,-0.57746,10.93468,199.56961,Slängpolskorgris,-92.29075,-0.70048,1,-101.24889,446.83978,CLAN_07541,-1.10307
False,99.10158,0.38376,0.06088,1.23681,11.46453,199.13653,Slängpolskorgris,-87.66974,-0.69911,1,-97.57630,446.71974,CLAN_07241,-0.20563
False,99.55198,0.57501,-0.37877,3.67275,11.90893,199.61698,Slängpolskorgris,-88.07462,-0.66947,1,-98.45058,448.53461,CLAN_00149,-0.48130
True,99.62824,0.40805,0.43039,2.95222,9.32821,199.70597,Slängpolskorgris,-92.58692,-0.66704,1,-99.59937,448.34149,CLAN_07906,0.56148
True,98.43581,0.15995,1.38033,0.59592,9.16101,198.49271,Hambogris,-87.79881,-0.69400,1,-96.64694,443.85557,CLAN_03720,-0.16074
True,101.81565,0.53656,0.82151,-3.25083,,201.89423,Schottisgris,-91.06083,-0.69931,0,-102.90648,457.62503,CLAN_06099,2.16348
False,102.11184,-0.10672,-0.22311,-2.77250,12.23584,202.16223,Polskorgris,-95.42802,-0.71232,1,-103.91571,458.60135,CLAN_10773,-0.20620
False,98.89475,1.03704,1.61993,-1.37711,11.01332,198.94988,Hambogris,-89.31962,-0.67837,1,-101.02010,443.96367,CLAN_00216,1.29357
False,99.73253,-0.24038,-0.63578,2.04927,9.53236,199.79066,Slängpolskorgris,-91.63850,-0.67683,0,-97.09356,450.11588,CLAN_07495,-0.28192
False,101.72636,-0.32570,-1.60590,-0.95721,10.43663,201.79815,Schottisgris,-93.61993,-0.66059,1,-99.10616,459.07871,CLAN_10915,-0.10936
True,99.74928,-0.27586,-1.36025,-1.31535,,199.83228,Slängpolskorgris,-92.86062,-0.68468,0,-98.07648,449.70818,CLAN_04939,1.34251
False,101.53780,-0.38471,0.47768,-0.52816,13.38888,201.60035,Schottisgris,-92.92338,-0.68336,1,-99.77088,457.80356,CLAN_02308,0.53798
False,100.75571,1.16432,1.40021,3.05396,11.94386,200.80103,Polkagris,-91.29095,-0.66023,0,-105.08137,451.23786,CLAN_03613,0.38433
True,100.74197,-0.04617,2.77749,-1.77233,11.18003,200.82236,Polkagris,-90.45696,-0.65394,1,-104.88005,451.26984,CLAN_02068,2.20942
True,99.15079,-0.66357,1.11213,-0.77405,11.08945,199.20790,Slängpolskorgris,-90.49664,-0.69425,0,-98.66234,446.42280,CLAN_00526,0.42175
False,100.21649,0.29886,-1.91889,1.50732,9.05879,200.27221,Polkagris,-91.30801,-0.69974,0,-96.92455,452.62016,CLAN_08012,0.02822
False,101.22585,0.23287,1.40213,-0.93409,12.21246,201.27336,Schottisgris,-91.92627,-0.68404,0,-100.44200,455.90826,CLAN_01112,0.91764
False,100.74864,-0.20281,-2.03226,-1.62237,,200.82393,Polkagris,-93.85578,-0.65021,1,-93.85562,456.81538,CLAN_04202,1.14102
True,99.17721,0.14378,1.42142,-1.48435,9.31970,199.26082,Slängpolskorgris,-90.92242,-0.64354,1,-100.55139,445.61034,CLAN_08450,1.91062
True,99.18005,1.10775,-0.03571,2.85067,13.62636,199.21739,Slängpolskorgris,-88.04124,-0.70742,1,-99.20470,446.29789,CLAN_07215,-0.66735
True,102.28832,1.17602,-0.62923,-3.63380,9.35208,202.36434,Polskorgris,-91.06618,-0.69022,0,-102.88305,460.00007,CLAN_09587,-0.96496
True,100.19410,0.22220,0.44758,-1.15574,9.27896,200.23057,Polkagris,-92.69415,-0.68011,0,-100.38042,450.78030,CLAN_03466,-0.17963
True,98.14471,0.17144,-1.27669,0.28930,10.54767,198.19991,Hambogris,-89.12860,-0.71819,1,-97.40686,442.02011,CLAN_06630,-0.67275
True,100.15038,1.28365,1.32777,1.06839,11.28015,200.18996,Polkagris,-90.50840,-0.68371,0,-101.03616,450.23380,CLAN_08892,-0.75929
False,99.46013,0.09141,1.94618,-1.43042,,199.53142,Slängpolskorgris,-89.83643,-0.66294,1,-103.44511,445.57808,CLAN_03521,-0.31214
False,100.16039,-0.14936,1.28509,-3.21183,,200.23550,Polkagris,-89.08253,-0.64822,1,-100.79907,450.40241,CLAN_04144,-3.30372
True,100.74168,-0.73492,0.80059,-1.08981,15.31447,200.78328,Polkagris,-90.43940,-0.69131,1,-95.96040,455.72819,CLAN_06101,2.19240
False,100.25920,0.28578,-1.61250,-3.54938,11.35287,200.33234,Polkagris,-90.69249,-0.67345,0,-102.66275,449.96462,CLAN_03264,1.03394
False,100.27739,1.46337,3.81955,-2.04059,,200.35416,Polkagris,-90.50518,-0.69695,0,-99.61158,451.58116,CLAN_01287,-2.38151
True,100.02005,0.36310,-0.18467,0.85752,8.17501,200.08056,Polkagris,-94.84911,-0.69330,0,-100.42134,449.88960,CLAN_04748,1.00736
True,100.94792,-0.27938,-0.96451,-3.92403,,201.01700,Polkagris,-92.19663,-0.65666,1,-101.13735,454.17092,CLAN_08935,1.69748
False,100.01134,1.28389,0.58840,2.87261,12.31156,200.06987,Polkagris,-90.85980,-0.72999,0,-99.87272,450.12036,CLAN_06874,1.32112
True,100.44666,-0.20500,-0.36508,-2.63923,,200.51917,Polkagris,-91.41974,-0.66900,1,-96.34678,454.05989,CLAN_04207,1.85100
False,99.89100,-0.76085,0.67551,-1.18947,,199.95823,Slängpolskorgris,-89.13276,-0.66079,0,-101.93194,448.48904,CLAN_02188,-3.09302
True,99.21980,-0.00639,0.31886,2.08864,11.74743,199.26269,Slängpolskorgris,-89.13314,-0.71960,0,-101.40690,445.39557,CLAN_06181,0.46835
True,101.02112,0.31990,-1.44749,-3.22023,9.34432,201.09725,Schottisgris,-92.50700,-0.68642,0,-97.05616,456.57754,CLAN_10279,1.56868
False,100.28942,0.75677,1.05023,-0.45738,11.73846,200.34881,Polkagris,-89.27292,-0.65865,0,-100.17019,451.36201,CLAN_03925,-0.62493
True,101.14055,0.46012,1.34334,-0.38110,9.85213,201.18929,Schottisgris,-90.99362,-0.70385,0,-102.04023,454.68262,CLAN_01203,1.99145
True,101.60920,0.41344,-0.38854,1.34533,11.83072,201.67096,Schottisgris,-93.07803,-0.70113,0,-104.40769,455.84216,CLAN_02079,-0.54596
False,98.08973,0.14211,1.68256,-0.41630,10.96812,198.16022,Hambogris,-87.55284,-0.67191,1,-99.74533,440.57597,CLAN_08776,2.04156
False,99.22835,-0.44011,-0.01914,-3.91115,,199.30239,Slängpolskorgris,-91.55495,-0.69536,0,-95.84061,448.22144,CLAN_07265,2.01682
True,99.60373,0.33209,2.57594,-2.53483,,199.68740,Slängpolskorgris,-91.37307,-0.68398,1,-102.25630,446.89049,CLAN_02388,-1.50719
True,101.03580,0.77621,-0.76683,-3.76903,12.22917,201.08492,Schottisgris,-92.43913,-0.69995,0,-102.76149,453.79827,CLAN_02848,0.68889
False,100.45339,0.27556,-3.22048,-0.31801,,200.52746,Polkagris,-93.54575,-0.66122,0,-100.72208,451.90589,CLAN_00225,3.53921
True,99.31747,0.15404,0.51232,-0.96919,,199.40124,Slängpolskorgris,-91.49698,-0.69159,1,-98.04456,447.56507,CLAN_01643,-1.88455
True,100.83091,0.19088,-1.03489,2.04326,10.09899,200.88481,Polkagris,-91.06270,-0.65218,0,-103.84161,452.23375,CLAN_06526,0.04684
False,101.42503,-0.50512,0.84280,-2.44124,9.07766,201.50931,Schottisgris,-92.12122,-0.68071,1,-99.10101,457.57464,CLAN_06908,-2.44863
True,99.72301,-0.62766,1.90201,-1.23343,13.70296,199.78985,Slängpolskorgris,-90.27130,-0.68057,0,-90.45231,453.38887,CLAN_07032,2.58147
False,100.07976,-0.12240,-2.97408,-0.52880,,200.15519,Polkagris,-92.99908,-0.66582,1,-97.95307,451.42224,CLAN_08891,1.42917
False,99.59171,0.79665,0.08879,1.18958,9.79859,199.63669,Slängpolskorgris,-90.14602,-0.70252,1,-97.61807,449.14951,CLAN_04034,-0.90707
False,100.79526,-0.13608,0.19583,-4.72676,11.80868,200.86233,Polkagris,-91.41187,-0.68489,1,-100.58443,453.68408,CLAN_04950,0.22073
True,99.19567,0.71567,0.00354,-0.48350,12.40864,199.26082,Slängpolskorgris,-89.38962,-0.65935,1,-102.17934,444.88868,CLAN_02847,-0.90585
True,102.02316,-0.17586,-0.71833,3.20460,7.88138,202.10733,Polskorgris,-91.00561,-0.65884,1,-101.62674,459.30241,CLAN_07947,-0.56053
False,99.40365,-0.45549,-0.14800,-1.31368,,199.47521,Slängpolskorgris,-91.04599,-0.67283,0,-94.44037,449.79807,CLAN_00747,-1.10553
True,98.39967,-0.13925,-0.20887,-3.48993,9.86621,198.45803,Hambogris,-87.70894,-0.72518,0,-100.70800,441.64437,CLAN_04183,1.31729
True,99.98842,0.62035,-1.26742,-1.49697,10.56583,200.06512,Slängpolskorgris,-91.17318,-0.67262,0,-93.85775,453.01320,CLAN_05567,-1.90229
False,98.70291,0.47369,-0.65652,-1.24133,,198.77931,Hambogris,-89.48384,-0.66641,1,-98.34757,444.34074,CLAN_00319,2.04207
True,100.44574,0.24883,0.56147,3.36763,10.86829,200.52035,Polkagris,-89.77441,-0.70678,0,-97.26304,453.59720,CLAN_06041,-0.36416
False,99.97377,-0.39080,0.30864,1.44476,11.74389,200.02549,Slängpolskorgris,-88.97902,-0.68709,0,-94.87889,452.42943,CLAN_06454,0.16353
False,100.17386,-0.71920,-1.37876,-1.43849,11.01788,200.22999,Polkagris,-90.27282,-0.67142,1,-99.67655,451.03104,CLAN_10551,-1.32846
False,99.70956,-0.85751,1.46420,-4.73102,,199.78290,Slängpolskorgris,-91.62025,-0.66713,0,-102.34872,447.37344,CLAN_04332,0.50490
True,100.08863,0.54212,-0.22142,-1.60836,12.83236,200.16774,Polkagris,-90.19179,-0.67128,0,-100.04587,450.42023,CLAN_06552,1.20661
True,99.88846,-0.48433,0.97407,0.45269,,199.96925,Slängpolskorgris,-91.43524,-0.66887,0,-105.99813,446.44321,CLAN_05972,-0.03632
True,101.59928,0.08061,2.84337,-1.47348,10.94982,201.67071,Schottisgris,-91.23889,-0.66238,0,-100.20673,457.89306,CLAN_03859,-3.12493
True,99.78233,-0.19096,-0.91079,1.21228,7.92659,199.82925,Slängpolskorgris,-92.10005,-0.68988,0,-100.65916,448.58206,CLAN_03812,-3.16088
True,99.85732,0.22142,0.02364,-2.44837,11.57367,199.93423,Slängpolskorgris,-89.79476,-0.67780,1,-97.45267,450.56029,CLAN_08896,0.58367
False,101.06336,0.02946,-0.01023,-0.67108,,201.14581,Schottisgris,-92.38419,-0.67800,0,-96.84813,456.89273,CLAN_00917,2.23255
True,99.23541,-0.00855,-0.64706,-2.17096,12.72847,199.29383,Slängpolskorgris,-89.34943,-0.71187,0,-99.88772,446.23317,CLAN_04525,0.51648
False,100.95557,1.66190,-2.59427,-2.28170,11.99259,201.01956,Polkagris,-91.90976,-0.68515,0,-107.32726,451.11423,CLAN_03583,-1.87608
False,98.53238,-0.05255,-2.60677,-1.01164,11.38828,198.58524,Hambogris,-92.03750,-0.67697,0,-101.60559,441.85908,CLAN_02932,1.54671
False,99.58613,-0.90403,0.78613,-1.13099,8.99106,199.63846,Slängpolskorgris,-91.18256,-0.70531,0,-97.00602,449.42764,CLAN_09289,0.20894
False,100.68359,0.37509,-0.09098,-2.79806,11.60270,200.75730,Polkagris,-91.25144,-0.69306,0,-97.19678,454.81956,CLAN_08094,0.12248
True,100.97382,-0.29473,-0.85552,-2.05739,,201.06025,Polkagris,-89.59704,-0.68766,1,-98.21289,455.76264,CLAN_03706,2.07878
True,98.93398,0.56687,-1.89006,-3.42467,,199.01461,Hambogris,-91.77023,-0.67202,1,-99.40248,444.96863,CLAN_00751,1.27330
False,101.40604,1.30159,1.43997,-1.17011,13.43771,201.48164,Schottisgris,-90.78546,-0.69905,0,-104.85584,454.60229,CLAN_08156,0.96569
True,99.84465,-0.02006,-0.24535,-1.96639,,199.91379,Slängpolskorgris,-89.98146,-0.66664,0,-100.68935,448.87860,CLAN_06766,0.37746
True,99.09403,-0.07260,3.06486,-0.86850,9.64428,199.14028,Slängpolskorgris,-90.68705,-0.70495,0,-94.68473,448.12777,CLAN_09437,1.52698
False,101.72424,2.08372,-0.96052,4.15652,10.16338,201.75815,Schottisgris,-91.79703,-0.69718,0,-100.10889,458.56676,CLAN_10931,-0.83800
False,100.42945,1.00544,-0.08081,4.98097,11.77659,200.48601,Polkagris,-89.73024,-0.66603,0,-102.93122,450.68165,CLAN_07048,-0.46685
True,99.14341,0.12915,-2.38786,2.14994,8.21432,199.20347,Slängpolskorgris,-87.53503,-0.67418,1,-104.81464,443.30974,CLAN_10589,-0.20901
True,100.61963,0.40412,-1.18377,2.30437,9.71627,200.67926,Polkagris,-90.24221,-0.66333,0,-100.39401,452.90117,CLAN_08474,-0.22667
True,101.55619,0.63628,0.50189,-2.37864,8.99564,201.62954,Schottisgris,-94.65462,-0.66456,0,-108.14605,453.70791,CLAN_03614,0.26995
False,100.02293,-0.40456,-1.35678,4.36915,6.50030,200.07372,Polkagris,-90.54765,-0.68741,1,-97.31463,451.45734,CLAN_05902,2.34253
True,100.40655,1.09857,-0.94601,1.29968,11.33953,200.44303,Polkagris,-89.79361,-0.70222,0,-99.30787,452.37882,CLAN_08722,0.21773
True,98.11048,0.18097,0.37761,-2.87925,,198.18696,Hambogris,-87.64621,-0.65914,1,-103.58365,438.76056,CLAN_04041,-0.05052
False,99.74256,-1.04884,-0.19120,0.55852,9.55725,199.82355,Slängpolskorgris,-89.22397,-0.64937,0,-97.53459,449.94549,CLAN_04889,-1.43334
True,99.84368,-0.26402,2.66095,-2.58646,11.23907,199.92124,Slängpolskorgris,-88.41498,-0.68945,0,-98.95691,449.73996,CLAN_03668,-0.37423
False,99.21267,0.69711,0.70989,0.01981,13.05856,199.25597,Slängpolskorgris,-87.97712,-0.69121,1,-98.43861,446.84404,CLAN_02495,-0.55503
False,99.99091,0.66357,0.65657,-0.94415,12.72861,200.05818,Slängpolskorgris,-91.61710,-0.66891,0,-101.93295,448.98806,CLAN_08640,-0.91923
False,99.22839,-0.44132,-0.42819,2.72744,10.88472,199.28177,Slängpolskorgris,-89.84756,-0.71595,0,-98.96013,446.66186,CLAN_10456,-0.18895
True,100.47784,0.28932,-0.35972,-3.28823,,200.55003,Polkagris,-91.05459,-0.67467,0,-106.60040,449.08899,CLAN_01295,-1.26511
False,100.42321,-0.15613,-0.44637,-2.73634,,200.50520,Polkagris,-91.67133,-0.68086,1,-105.01006,449.61102,CLAN_05824,-0.55093
False,99.17561,-0.10661,1.47013,-2.31140,,199.25174,Slängpolskorgris,-89.88027,-0.66079,0,-102.88157,444.43729,CLAN_05996,0.73003
False,101.32259,0.43431,-0.72151,3.19562,10.88099,201.37045,Schottisgris,-95.84288,-0.68870,0,-98.33317,457.44638,CLAN_09632,-0.04607
True,99.62759,-0.39541,1.21964,-1.98275,12.73092,199.70702,Slängpolskorgris,-89.49068,-0.63917,0,-94.39968,450.93813,CLAN_05029,-1.99156
True,99.70736,-1.49287,-1.68313,-1.89429,,199.78457,Slängpolskorgris,-93.28076,-0.70109,0,-100.40248,448.33557,CLAN_00073,0.70586
False,100.48459,0.09147,0.64418,1.14840,7.78505,200.54570,Polkagris,-91.06924,-0.68001,0,-104.67050,450.08771,CLAN_09743,0.24312
False,102.21421,0.36205,1.63847,-0.61782,,202.29534,Polskorgris,-91.24845,-0.66959,0,-102.70015,459.72095,CLAN_00664,-2.12578
False,98.85534,-0.38264,-0.51515,-1.06165,9.86215,198.90436,Hambogris,-91.97060,-0.68538,0,-99.52763,444.51291,CLAN_00717,0.95488
False,99.77706,-0.57775,1.93352,-1.78892,,199.85121,Slängpolskorgris,-90.20616,-0.65444,0,-100.48166,448.64446,CLAN_02008,0.13354
False,98.73365,0.51615,2.79494,0.68058,8.46848,198.78007,Hambogris,-87.40376,-0.70249,1,-93.22218,447.05717,CLAN_09161,1.50252
True,100.91024,1.35121,1.52803,-1.71031,12.68844,200.99939,Polkagris,-92.47751,-0.64637,0,-105.50305,451.79970,CLAN_05990,0.40847
True,98.58840,-1.08969,-2.27601,-1.25428,,198.65530,Hambogris,-88.63223,-0.67139,0,-101.20881,442.33762,CLAN_10853,1.99431
False,99.61802,-0.32931,-0.17023,-2.98437,,199.69432,Slängpolskorgris,-88.87514,-0.66680,0,-92.98932,451.59544,CLAN_06891,0.63748
False,101.64921,0.51364,0.50125,2.08856,10.47902,201.71275,Schottisgris,-93.53324,-0.68333,0,-99.77591,458.35808,CLAN_02550,-0.46791
False,100.72141,0.00077,0.44828,1.13890,11.20295,200.76492,Polkagris,-91.83550,-0.66461,1,-104.41099,451.40154,CLAN_04483,-0.72036
False,100.11499,-1.59960,0.52565,-1.96797,11.97431,200.16728,Polkagris,-88.21229,-0.67702,1,-96.62583,452.26202,CLAN_06987,-0.75022
False,100.09542,0.69397,2.33735,-0.64074,15.16360,200.17255,Polkagris,-92.39903,-0.67106,0,-106.74202,447.10608,CLAN_02053,1.55769
False,100.99199,0.98689,0.81498,3.29655,9.10602,201.05868,Schottisgris,-94.29899,-0.68743,0,-99.29208,455.31391,CLAN_01108,2.43563
False,102.16609,0.15782,2.03550,0.10220,11.13964,202.22179,Polskorgris,-92.00373,-0.70146,0,-100.55074,460.55506,CLAN_02240,-0.03203
True,100.63248,0.01826,0.20378,3.13651,9.52643,200.68301,Polkagris,-90.52190,-0.67788,0,-96.02503,455.14989,CLAN_08104,0.02827
False,99.11926,0.09658,0.07992,-2.17609,,199.19173,Slängpolskorgris,-88.46289,-0.66350,1,-98.13868,446.52697,CLAN_04834,0.80110
True,99.54530,0.03206,0.67816,-3.17084,,199.61195,Slängpolskorgris,-91.13444,-0.66542,1,-104.06606,445.69347,CLAN_08342,-0.90158
False,99.48922,0.59163,0.29455,2.07067,8.68893,199.57275,Slängpolskorgris,-90.56319,-0.65585,1,-99.65238,447.61991,CLAN_09989,0.24978
False,100.62514,0.95882,-0.33412,-2.03026,9.81944,200.66978,Polkagris,-90.15547,-0.67646,0,-103.55827,451.34657,CLAN_08933,-0.53440
False,99.80869,-1.22670,1.50642,-3.89871,10.24244,199.89427,Slängpolskorgris,-92.55004,-0.68350,0,-97.75916,450.16385,CLAN_07282,0.29877
True,99.78693,0.06691,0.68957,-2.07584,,199.86332,Slängpolskorgris,-93.62192,-0.65800,1,-96.33878,450.76528,CLAN_00867,-0.54597
False,99.07395,-1.23506,-0.94321,-2.54111,10.77431,199.15587,Slängpolskorgris,-90.93567,-0.68328,0,-104.22961,443.25496,CLAN_02838,0.33609
True,99.78744,-0.44940,-0.31383,-2.47122,11.70670,199.82732,Slängpolskorgris,-90.67450,-0.68044,0,-98.23113,449.82161,CLAN_03731,0.11873
True,100.95835,0.41787,0.14688,-1.72307,11.47629,201.00776,Polkagris,-89.27078,-0.70102,0,-99.08315,455.25017,CLAN_02977,0.91500
True,100.63849,-0.10055,1.62223,-2.22247,12.11788,200.69362,Polkagris,-90.74445,-0.69429,1,-104.08833,451.14829,CLAN_01007,1.52898
True,101.39599,0.74433,0.88002,-1.21788,,201.47972,Schottisgris,-91.70830,-0.69098,0,-101.23138,456.36427,CLAN_09362,-0.44349
False,98.62009,-0.39429,-1.18962,-1.09725,,198.69255,Hambogris,-90.57902,-0.66722,0,-94.03856,446.08115,CLAN_05727,0.80172
True,100.98619,0.83657,-0.93508,-1.15638,11.41774,201.06445,Polkagris,-90.83661,-0.69043,0,-101.79687,454.03249,CLAN_03160,0.51187
False,100.43937,0.58511,0.79101,-1.00546,12.09517,200.50195,Polkagris,-90.76195,-0.68010,0,-102.23374,451.07999,CLAN_06262,1.37574
True,98.64204,0.16455,0.73058,1.25976,10.63591,198.71447,Hambogris,-91.27336,-0.70160,1,-98.80282,443.80880,CLAN_02175,0.20852
True,100.59204,-0.57882,0.05824,-1.82599,,200.67142,Polkagris,-92.55907,-0.67759,1,-101.69622,452.11211,CLAN_04739,-0.10396
